Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,920.609985,925.97998,917.25,922.900024,922.900024,1192100
2017-08-10,917.549988,919.26001,906.130005,907.23999,907.23999,1824000
2017-08-11,907.969971,917.780029,905.580017,914.390015,914.390015,1206800
2017-08-14,922.530029,924.66803,918.190002,922.669983,922.669983,1064500
2017-08-15,924.22998,926.549988,919.820007,922.219971,922.219971,883400
2017-08-16,925.289978,932.700012,923.445007,926.960022,926.960022,1006700
2017-08-17,925.780029,926.859985,910.97998,910.97998,910.97998,1277200
2017-08-18,910.309998,915.275024,907.153992,910.669983,910.669983,1342700
2017-08-21,910.0,913.0,903.400024,906.659973,906.659973,943400
2017-08-22,912.719971,925.859985,911.474976,924.690002,924.690002,1166700
2017-08-23,921.929993,929.929993,919.359985,927.0,927.0,1090200
2017-08-24,928.659973,930.840027,915.5,921.280029,921.280029,1270300
2017-08-25,923.48999,925.554993,915.5,915.890015,915.890015,1053400
2017-08-28,916.0,919.244995,911.869995,913.809998,913.809998,1086500
2017-08-29,905.099976,923.330017,905.0,921.289978,921.289978,1185600
2017-08-30,920.049988,930.81897,919.650024,929.570007,929.570007,1301200
2017-08-31,931.76001,941.97998,931.76001,939.330017,939.330017,1582600
2017-09-01,941.130005,942.47998,935.150024,937.340027,937.340027,947400
2017-09-05,933.080017,937.0,921.960022,928.450012,928.450012,1326400
2017-09-06,930.150024,930.914978,919.27002,927.809998,927.809998,1527700
2017-09-07,931.72998,936.409973,923.619995,935.950012,935.950012,1212700
2017-09-08,936.48999,936.98999,924.880005,926.5,926.5,995100
